#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,exchange,symbol,timeframe
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-10T13:11:02.988Z,118335.927,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-10T17:59:12.99Z,118655.26666666666,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-10T22:47:22.992Z,118569.008,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-11T03:35:32.994Z,120286.354,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-11T08:23:42.996Z,121933.39444444445,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-11T13:11:52.998Z,120729.804,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-11T18:00:03Z,119997.23400000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-11T22:48:13.002Z,119018.7088888889,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-12T03:36:23.004Z,118919.88299999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-12T08:24:33.006Z,118924.81666666668,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-12T13:12:43.008Z,118688.526,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-12T18:00:53.01Z,119500.54299999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-12T22:49:03.012Z,119860.01111111112,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-13T03:37:13.014Z,119671.81599999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-13T08:25:23.016Z,119441.59999999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-13T13:13:33.018Z,120360.03300000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-13T18:01:43.02Z,121406.04600000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-13T22:49:53.022Z,122600.56777777779,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-14T03:38:03.024Z,123550.523,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-14T08:26:13.026Z,122207.73444444446,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-14T13:14:23.028Z,120763.43000000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-14T18:02:33.03Z,118189.598,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-14T22:50:43.032Z,118042.20888888888,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-15T03:38:53.034Z,118574.20499999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-15T08:27:03.036Z,118982.24555555555,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-15T13:15:13.038Z,118795.575,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-15T18:03:23.04Z,117425.50399999999,close,prices,binance,BTCUSDT,30m
